"Datapoint Number","Test Time (s)","Cycle Number","Current (A)","Potential (V)","Step Index","Step Time (s)","Charge Capacity (Ah)","Discharge Capacity (Ah)","Charge Energy (Wh)","Discharge Energy (Wh)","Timestamp","dV/dt (V/s)","dQ/dV (Ah/V)","Current Cycle Net Capacity (Ah)","Current Cycle Net Energy (Wh)","Test Net Capacity (Ah)","Test Net Energy (Wh)","Test Cumulative Capacity (Ah)","Test Cumulative Energy (Wh)","Power (W)","[Maccor] Datapoint ID","[Maccor] Cycle","[Maccor] Step Index","[Maccor] Test Time (s)","[Maccor] Step Time (s)","[Maccor] Capacity (Ah)","[Maccor] Energy (Wh)","[Maccor] Current (A)","[Maccor] Potential (V)","[Maccor] State","[Maccor] Ending Status","[Maccor] Datapoint Time","[Maccor] AC Impedance (Ω)","[Maccor] Internal Resistance (Ω)","[Maccor] VAR 1","[Maccor] VAR 10","[Maccor] VAR 11","[Maccor] VAR 12","[Maccor] VAR 13","[Maccor] VAR 14","[Maccor] VAR 15","[Maccor] VAR 2","[Maccor] VAR 3","[Maccor] VAR 4","[Maccor] VAR 5","[Maccor] VAR 6","[Maccor] VAR 7","[Maccor] VAR 8","[Maccor] VAR 9"
12,16200.0,0,0.0,0.0,1,16200.0,0.0,0.0,0.0,0.0,1592337768000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,1,16200.0,16200.0,0.0,0.0,0.0,0.0,R,1,06/16/2020 16:02:48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,18000.0,0,0.0,0.0,1,18000.0,0.0,0.0,0.0,0.0,1592339568000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1,18000.0,18000.0,0.0,0.0,0.0,0.0,R,1,06/16/2020 16:32:48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,19800.0,0,0.0,0.0,1,19800.0,0.0,0.0,0.0,0.0,1592341369000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,1,19800.0,19800.0,0.0,0.0,0.0,0.0,R,1,06/16/2020 17:02:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,21600.0,0,0.0,0.0,1,21600.0,0.0,0.0,0.0,0.0,1592343169000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,1,21600.0,21600.0,0.0,0.0,0.0,0.0,R,1,06/16/2020 17:32:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,23400.0,0,0.0,0.0,1,23400.0,0.0,0.0,0.0,0.0,1592344969000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,1,23400.0,23400.0,0.0,0.0,0.0,0.0,R,1,06/16/2020 18:02:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,25200.0,0,0.0,0.0,1,25200.0,0.0,0.0,0.0,0.0,1592346769000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,1,25200.0,25200.0,0.0,0.0,0.0,0.0,R,1,06/16/2020 18:32:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,27000.0,0,0.0,0.0,1,27000.0,0.0,0.0,0.0,0.0,1592348569000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,1,27000.0,27000.0,0.0,0.0,0.0,0.0,R,1,06/16/2020 19:02:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,28800.0,0,0.0,0.0,1,28800.0,0.0,0.0,0.0,0.0,1592350369000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,1,28800.0,28800.0,0.0,0.0,0.0,0.0,R,1,06/16/2020 19:32:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,30600.0,0,0.0,0.0,1,30600.0,0.0,0.0,0.0,0.0,1592352169000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,1,30600.0,30600.0,0.0,0.0,0.0,0.0,R,1,06/16/2020 20:02:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,32400.0,0,0.0,0.0,1,32400.0,0.0,0.0,0.0,0.0,1592353969000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,1,32400.0,32400.0,0.0,0.0,0.0,0.0,R,1,06/16/2020 20:32:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,34200.0,0,0.0,0.0,1,34200.0,0.0,0.0,0.0,0.0,1592355769000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,1,34200.0,34200.0,0.0,0.0,0.0,0.0,R,1,06/16/2020 21:02:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,36000.0,0,0.0,0.0,1,36000.0,0.0,0.0,0.0,0.0,1592357569000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0,1,36000.0,36000.0,0.0,0.0,0.0,0.0,R,1,06/16/2020 21:32:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,37800.0,0,0.0,0.0,1,37800.0,0.0,0.0,0.0,0.0,1592359369000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0,1,37800.0,37800.0,0.0,0.0,0.0,0.0,R,1,06/16/2020 22:02:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,39600.0,0,0.0,0.0,1,39600.0,0.0,0.0,0.0,0.0,1592361169000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,1,39600.0,39600.0,0.0,0.0,0.0,0.0,R,1,06/16/2020 22:32:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,41400.0,0,0.0,0.0,1,41400.0,0.0,0.0,0.0,0.0,1592362969000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,1,41400.0,41400.0,0.0,0.0,0.0,0.0,R,1,06/16/2020 23:02:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,43200.0,0,0.0,0.0,1,43200.0,0.0,0.0,0.0,0.0,1592364769000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,1,43200.0,43200.0,0.0,0.0,0.0,0.0,R,1,06/16/2020 23:32:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,45000.0,0,0.0,0.0,1,45000.0,0.0,0.0,0.0,0.0,1592366569000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,1,45000.0,45000.0,0.0,0.0,0.0,0.0,R,1,06/17/2020 00:02:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,46800.0,0,0.0,0.0,1,46800.0,0.0,0.0,0.0,0.0,1592368369000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,1,46800.0,46800.0,0.0,0.0,0.0,0.0,R,1,06/17/2020 00:32:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
